layout,robots,scenario_seed,checkpoint,success,collision_events,collision_episode,min_separation,path_length,final_error,control_time_ms
random,10,15,checkpoints_seed1,1,6,1,0.005585947382235386,100.2710814579586,0.4970806690050561,0.9813814191147685
random,10,15,checkpoints_seed2,1,7,1,0.04009279392744645,124.1482869969131,0.3465150583503931,0.9815100852089623
random,10,15,checkpoints_seed3,1,4,1,0.05464067084376153,128.8146317589343,0.4579194402801317,0.9970318681250016
random,10,16,checkpoints_seed1,1,7,1,0.06415780412404606,84.02318046579839,0.3649148024041115,0.9906763540736089
random,10,16,checkpoints_seed2,1,7,1,0.018702387044778498,98.77034537239199,0.35928947296562136,0.9938010422047228
random,10,16,checkpoints_seed3,1,7,1,0.05554695764805208,108.01065070401799,0.4654262039981586,0.9926875335319588
random,10,17,checkpoints_seed1,1,8,1,0.02912355619555963,131.88259647640285,0.5075615192932696,0.9994589510218551
random,10,17,checkpoints_seed2,1,7,1,0.02471462649931628,147.59698679051786,0.48116283426894874,0.9960040469498684
random,10,17,checkpoints_seed3,1,10,1,0.0678663639616858,148.55970950531696,0.34696291424504627,0.9969889341543118
random,10,18,checkpoints_seed1,1,6,1,0.05935738743211736,55.178709746346144,0.6261168106361477,0.9923270457269003
random,10,18,checkpoints_seed2,1,7,1,0.13325056964086118,169.0726141788897,0.1846972994517543,0.9958238185693821
random,10,18,checkpoints_seed3,1,9,1,0.16298186943710272,117.17742253911233,0.6264233898499049,0.9937521691123644
random,10,19,checkpoints_seed1,1,5,1,0.060353363803904964,75.05368498465005,0.4920212366434873,0.9985055114763478
