layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error
random,mlp,20,10,1,941,40,1,0.02107692967059004,141.59710638008463,240,0.6144229077943877
random,gnn,20,10,1,770,46,1,0.039151304636275225,229.598032230874,240,0.5667678266627946
random,orca,20,11,1,242,13,1,0.2857017491393872,225.73807497995165,148,0.06415475640540778
random,astar,20,11,1,220,25,1,0.02093449364678544,192.63999250291792,86,0.09388911881876082
random,mlp,20,11,0,761,29,1,0.012720805162181298,112.28923898124313,240,0.8371614263585408
random,gnn,20,11,1,621,24,1,0.03966260077714938,270.00362201650216,240,0.3392017226208365
random,orca,20,12,1,206,19,1,0.14247116753445602,316.6978207635354,240,0.20680867995033575
random,astar,20,12,1,419,41,1,0.019528329447569243,279.99998867550835,125,0.08721459650496774
random,mlp,20,12,0,1136,38,1,0.010300284857758548,140.16254812091623,240,0.6770550069922836
random,gnn,20,12,1,1001,33,1,0.017705745162275247,239.21094652517885,240,0.46770221886255936
random,orca,20,13,1,541,14,1,0.06172643004707237,320.0621730447215,240,0.09763902906884503
random,astar,20,13,1,350,21,1,0.02172003450355914,262.07999077521777,117,0.0891998049997248
random,mlp,20,13,0,779,23,1,0.030122247813137073,137.80643913867735,240,0.7033388133897309
random,gnn,20,13,0,763,21,1,0.03183465380596556,215.2876080642453,240,0.7226200347451479
random,orca,20,14,1,309,19,1,0.23998961321405926,310.85597128709605,208,0.06591532147488606
random,astar,20,14,1,414,55,1,0.01357511339306456,206.07999294008582,92,0.0686935265298341
random,mlp,20,14,0,713,36,1,0.00638024018696762,146.54152233871864,240,0.6923882376897941
random,gnn,20,14,1,684,36,1,0.01833153788388316,240.50075638807445,240,0.3420696203146276
