layout,method,robots,success_mean,success_std,success_ci95,collision_events_mean,collision_events_std,collision_events_ci95,collision_episode_mean,collision_episode_std,collision_episode_ci95,min_separation_mean,min_separation_std,min_separation_ci95,path_length_mean,path_length_std,path_length_ci95,final_error_mean,final_error_std,final_error_ci95,control_time_ms_mean,control_time_ms_std,control_time_ms_ci95,episodes
open,orca,10,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.10989414784227217,0.03674364676654975,0.02277394821130376,95.73731899530695,6.675040722643536,4.13723310295425,0.09124029273881534,0.015576111908307166,0.009654174181104792,0.20636872713546958,0.006218612308782632,0.003854335841137039,10
open,orca,20,1.0,0.0,0.0,16.4,1.2649110640673518,0.7839999999999999,1.0,0.0,0.0,0.20279333395908847,0.02050700616560631,0.012710374104988681,191.36781849108252,28.297132931042086,17.538744697671273,0.08285012643934989,0.012871826803926,0.0079780409081319,0.7699476216945637,0.008395132209599478,0.005203356851952981,10
open,rvo,5,1.0,0.0,0.0,1.7,0.4830458915396479,0.2993949454037815,1.0,0.0,0.0,0.35898405391052435,0.22754668364494923,0.14103489568982158,28.632798125099008,2.929780776631801,1.8158969386301678,0.12182148461903328,0.010171902382355043,0.006304610414366434,6.336044840877668,0.05166445793663151,0.032021962786912876,10
open,rvo,10,1.0,0.0,0.0,4.6,0.9660917830792959,0.5987898908075631,1.0,0.0,0.0,0.17064000553450714,0.10135521879449101,0.06282061545051824,60.82159587281378,5.511722988449057,3.4162013011801537,0.06386813890548496,0.007339628771961288,0.004549149043502443,22.036637040560503,0.08593411775241495,0.05326251799968919,10
open,rvo,20,1.0,0.0,0.0,21.7,2.4517567397911053,1.5196145710160993,1.0,0.0,0.0,0.07079338054801793,0.035370912667846595,0.021923118802062408,119.97999170989291,11.084581692882107,6.870294911703646,0.06279535446792779,0.0065231697106107244,0.004043102474472859,81.75376674014751,0.2936086260638466,0.18198051181074895,10
random,astar,5,1.0,0.0,0.0,2.5,1.1785113019775793,0.7304488726499313,1.0,0.0,0.0,0.19596203266463114,0.20349132606460507,0.12612523059261946,36.78079883223454,11.463606758776372,7.105217081413818,0.13104657203903747,0.0326470895759471,0.02023487575896456,0.443456770211377,0.14023330967446662,0.08691750582942784,10
random,astar,10,1.0,0.0,0.0,9.1,2.884826203122507,1.7880338052981235,1.0,0.0,0.0,0.04679126430368291,0.028470370422636386,0.01764611840738744,106.73599628032814,16.704736748531683,10.3537031044196,0.09776469889896572,0.008983098110278757,0.005567781892754118,0.7855333892517655,0.19284989112179618,0.11952960088223062,10
random,astar,20,1.0,0.0,0.0,30.2,5.940445175985458,3.68192606600887,1.0,0.0,0.0,0.025929529164124793,0.013627133630880429,0.008446184929600229,244.9614558593999,29.73450164755558,18.429635058075753,0.07619901020696943,0.010850089346357861,0.006724955049560406,1.6429111207684237,0.49198020714761176,0.30493249158834923,10
random,gnn,5,0.8,0.4216370213557839,0.2613333333333333,2.5,0.8498365855987975,0.5267341728888386,1.0,0.0,0.0,0.1884330613219814,0.10003152516361319,0.06200018163814315,57.9794913748123,10.557706390951687,6.543734216293794,0.5359600071855052,0.10167184278104448,0.06301686103055112,0.7820707899130259,0.0213609441035917,0.013239650322423125,10
random,gnn,10,0.9,0.31622776601683794,0.19599999999999998,6.7,2.263232692902394,1.4027661561674805,1.0,0.0,0.0,0.07813194123873556,0.0449488507953178,0.027859586357173935,110.43615373892787,23.259247857411516,14.416231178795087,0.4986955636754412,0.22437865052493502,0.13907132841885106,1.011517540124866,0.008332334383609774,0.005164434356155041,10
