layout,method,robots,seed,success,collisions,collision_events,collision_episode,min_separation,path_length,steps,final_error,control_time_ms
crossing,gnn,20,19,1,533,27,1,0.027825253429061714,236.6464069757358,240,0.3800852695784965,1.4865389016146462
open,orca,5,10,1,56,2,1,0.06996241445119565,34.25702469017386,115,0.16897059085940072,0.0695804579426413
open,rvo,5,10,1,14,2,1,0.022684677276003363,28.335997774743063,77,0.1358132426458944,6.317499202567261
open,astar,5,10,1,2,1,1,0.6622738048362639,34.943998819198505,78,0.1374864498636547,0.1109149187612228
open,mlp,5,10,1,15,1,1,0.4148777874307703,27.83482095809318,240,0.22192731095996598,0.18163677499008676
open,gnn,5,10,1,16,2,1,0.1678548747304627,41.0056051286618,240,0.5939792492546492,0.5218158029795935
open,orca,5,11,1,55,2,1,0.07029491102162534,29.986075797570596,103,0.16922908684892188,0.06953978151517007
open,rvo,5,11,1,12,2,1,0.153165960422175,24.751998200547064,68,0.12384025255511037,6.327154231257737
open,astar,5,11,1,6,1,1,0.37853202572357936,30.91199880816976,69,0.11806432813721841,0.10670053408197734
open,mlp,5,11,1,28,2,1,0.0428072004992894,24.237632486221464,219,0.23601017320526108,0.18200813261069118
open,gnn,5,11,1,13,2,1,0.0938977601911705,27.874467178970143,240,0.5764254510262231,0.5214521933036546
open,orca,5,12,1,53,2,1,0.07211327359118527,35.64807591392544,118,0.15501285012444493,0.07006113212239945
open,rvo,5,12,1,4,1,1,0.5738771371173422,29.455997547080504,80,0.1351229020100752,6.338486942695454
open,astar,5,12,1,12,2,1,0.24791947852447602,36.735998620844335,82,0.10264704207042508,0.13105221456143915
open,mlp,5,12,1,17,1,1,0.34289920991142897,28.899004540071683,240,0.25659127437133666,0.1816427994829913
open,gnn,5,12,1,13,2,1,0.3953969448493599,37.69597515094473,240,0.5851699880335468,0.5224105669185519
open,orca,5,13,1,57,2,1,0.06659903467473846,38.9125611024736,128,0.13659699341426387,0.07102578092599288
open,rvo,5,13,1,3,1,1,0.6227195215722454,32.031998447846014,87,0.12150973557689564,6.26921250174443
open,astar,5,13,1,6,1,1,0.4101336157366988,39.42399849852236,88,0.12656374016361002,0.0988557320934805
open,mlp,5,13,1,28,2,1,0.07730361538436048,31.191371417170465,240,0.2835248137185001,0.18255679169669747
